header,review,rating,name,location,date
The app is enjoyable and it's good for…,The app is enjoyable and it's good for my daughter to learn responsible and to learn to be responsible ,5,Lonza Melvin,United States,2024-08-24
Absolute Scam.Dont make a an account…,Absolute Scam.Dont make a an account here go somewhere else.I was in the process of making an account and saw it needed a monthly payment.That was when I stopped yet an account was still made.And perhaps still charged me a monthly subscription without my knowledge ,1,STRMZY _ YT,United Kingdom,2024-08-22
My daughter's first day of school with…,"My daughter's first day of school with her card, tried using it at a vending machine and the school registers. But for whatever reason it kept declining. There's money on her card and it's not locked. Trying to figure out what the problem maybe before cancelling, I do not like the idea that she wouldn't be able to eat, because their school is card or apple pay. It's this doesn't work, I think I'll have to do apple pay. I wanted her to get used to using a card feeling more responsibility for herself in budgeting and saving money.",1,Orlanda Patterson,United States,2024-08-16
very unproffesional ppl and liers too,"very unproffesional ppl, feel like bunch of lazy unproffesional (i cannot find words to discribe them ,but i hope they and ppl reading this review can understand what i mean ,dont buy go henry for ur kids , i will suggest to all parents dont buy it",1,Nadeem Shah,United States,2024-08-21
GoHenry is a good way to educate money management …,"GoHenry is helping me daughter learn to value of money and to save for the things she rally wants. She is becoming very frugal and deciding if what she wants is worth the price. GoHenery also gives parents a lot of control of how much they can spend and where they can spend,meaning parents have to give permission for the child to shop on the internet. ",5,K Xoumphonphakdy,United States,2024-06-22
So easy to use and convenient,"So easy to use and convenient. Customer service is easy to access when I have a question, and always helpful and friendly. The comfort in knowing I can transfer my kids money in seconds in an emergency makes my mom heart happy. ",5,Kristi Strickland,United States,2024-07-16
It's a great use of technology,"It's a great use of technology.It has motivated our kids to do chores around the house, learn about finances (which our public school system doesn't even touch until Junior year of high school), helps the kids learn responsibility, and the debit card is a convenient way to enable our kids to have money when they need it.",5,John,United States,2024-07-08
Thanks A Million for services with this…,"Thanks A Million for services with this Go Henry Card . My granddaughters were able to use their card when we were on vacation at “ Six Flag Park Over Texas in Arlington Texas between Dallas Tx & Forth Worth Texas. We use it for Uber Returns Trip Back Home to ride the train & bus and snack on June 22, 2024 back to Baytown Tx",5,Moneek Suvette,United States,2024-06-25
My nephew is in love with GOHenry!,"My nephew is growing his piggy bank and spending as he pleases, even though there was one hiccup when he tried to buy something and there wasn’t quite enough loaded onto his debit (only a few cents off, he was on a field trip and forgot that he had cash too, obviously not the app’s fault)! The app alerted me about the “hiccup” and I adjusted his monthly payment accordingly. It’s been extremely exciting and useful. Thank you so much! ",5,Holly,United States,2024-06-03
The best tool to teach your child wealth management,"The app and concept are awesome. You can become the “bank” of sorts and monitor the child’s account and what they’re doing with it. Apple Pay is amazing as well, but this program allows parents to set savings interest rates and allows goals to be assigned. Really a great tool toward adolescent financial management efforts. I thought I’d try the trial and quit, because all I thought it would be was a debit card for the kid, but it’s this awesome program which does cost, but it’s totally worth 5 bucks a month (what they currently charge me). Try the trial, bet you pay for the service after it’s up. ",4,Noah Perry,United States,2024-06-27
